1.3464,1.0473,0
1.3085,2.9918,0
1.4178,1.7215,0
2.9011,1.9453,0
2.778,2.1079,0
0.83459,0.84684,0
2.0923,1.2631,0
2.2634,1.6337,0
1.2915,1.5779,0
3.2171,1.604,0
2.9454,1.6665,0
2.1562,1.4961,0
1.2047,2.1377,0
1.2483,1.1196,0
1.3581,2.1177,0
1.6604,1.7785,0
3.4949,2.8804,0
2.2372,1.3643,0
0.9881,1.6919,0
1.1215,2.3977,0
2.4985,2.2647,0
2.2993,2.1265,0
2.9325,3.01,1
2.0004,0.99216,0
3.9899,3.4262,1
1.8067,2.423,0
1.264,2.6212,0
3.1726,3.4671,1
2.6473,3.3963,1
1.2791,2.4899,0
1.0852,1.4113,0
1.2993,1.3271,0
3.0292,1.5742,1
2.2966,2.622,0
2.9682,2.2007,1
2.1938,3.0208,0
0.96502,1.6189,0
2.7975,3.4233,1
2.3345,1.7328,0
1.7795,1.5407,0
2.8943,1.7052,0
3.872,3.5305,1
3.7586,2.3412,1
2.8395,2.5593,1
2.832,1.1192,0
0.89991,1.1622,0
1.2296,2.1092,0
1.4916,2.2715,0
1.6322,2.2857,0
2.256,3.6656,1
1.7122,2.0352,0
2.2988,1.2024,0
0.96767,2.2466,0
1.0093,1.2981,0
1.7391,2.1,0
3.5045,3.4923,1
1.5087,3.9937,0
3.1475,3.5986,1
3.4733,2.5357,1
2.0705,2.9459,0
3.4373,3.4471,1
1.1228,1.2297,0
1.7388,2.574,0
2.7685,1.9442,0
1.5444,0.10388,0
2.9483,3.0585,1
1.8231,2.9303,0
2.8606,3.7553,1
0.40158,1.8701,0
1.3463,2.9213,0
1.6827,1.4023,0
0.94798,1.1228,0
1.3631,2.4126,0
2.6423,3.3355,0
1.9725,2.7349,0
2.3455,1.9815,0
3.3643,3.3076,0
0.82886,2.1835,0
2.5821,2.342,0
3.2292,1.5103,1
1.9689,2.3076,0
1.7212,2.578,0
1.5843,2.8889,0
3.6283,3.7876,1
1.2258,0.99589,0
1.5295,1.5695,0
1.6878,1.1215,0
2.1088,1.0037,0
2.688,1.7027,0
1.19,2.3163,0
2.7304,1.317,0
3.0964,2.1027,0
1.9794,2.2477,0
2.3182,2.7593,0
2.6031,2.502,0
1.3902,1.6126,0
2.2974,1.9573,0
2.3222,1.9898,1
3.623,2.3692,1
3.7062,1.9787,0
